"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2023,"10005",3,1,"dilluns", 5969
2023,"10005",3,2,"laborables", 6265
2023,"10005",3,3,"divendres", 6184
2023,"10005",3,4,"dissabte", 5050
2023,"10005",3,5,"diumenge", 4400
2023,"10005",4,1,"dilluns","Mesura no disponible"
2023,"10005",4,2,"laborables","Mesura no disponible"
2023,"10005",4,3,"divendres","Mesura no disponible"
2023,"10005",4,4,"dissabte","Mesura no disponible"
2023,"10005",4,5,"diumenge","Mesura no disponible"
2023,"10005",5,1,"dilluns","Mesura no disponible"
2023,"10005",5,2,"laborables","Mesura no disponible"
2023,"10005",5,3,"divendres","Mesura no disponible"
2023,"10005",5,4,"dissabte","Mesura no disponible"
2023,"10005",5,5,"diumenge","Mesura no disponible"
2023,"10005",6,1,"dilluns", 5417
2023,"10005",6,2,"laborables", 5601
2023,"10005",6,3,"divendres", 5798
2023,"10005",6,4,"dissabte", 4175
2023,"10005",6,5,"diumenge", 3017
2023,"10005",7,1,"dilluns", 4589
2023,"10005",7,2,"laborables", 4872
2023,"10005",7,3,"divendres", 5084
2023,"10005",7,4,"dissabte", 3509
2023,"10005",7,5,"diumenge", 2757
2023,"10005",8,1,"dilluns", 3554
2023,"10005",8,2,"laborables", 3720
2023,"10005",8,3,"divendres", 3648
2023,"10005",8,4,"dissabte", 3181
2023,"10005",8,5,"diumenge", 2067
2023,"10005",9,1,"dilluns", 5101
2023,"10005",9,2,"laborables", 5394
2023,"10005",9,3,"divendres", 5813
2023,"10005",9,4,"dissabte", 3901
2023,"10005",9,5,"diumenge", 2923
2023,"10005",10,1,"dilluns", 4914
2023,"10005",10,2,"laborables", 5304
2023,"10005",10,3,"divendres", 5221
2023,"10005",10,4,"dissabte", 3916
2023,"10005",10,5,"diumenge", 2944
2023,"10005",11,1,"dilluns", 5055
2023,"10005",11,2,"laborables", 5334
2023,"10005",11,3,"divendres", 5677
2023,"10005",11,4,"dissabte", 4174
2023,"10005",11,5,"diumenge", 3179
2023,"10005",12,1,"dilluns", 5145
2023,"10005",12,2,"laborables", 5101
2023,"10005",12,3,"divendres", 5372
2023,"10005",12,4,"dissabte", 3949
2023,"10005",12,5,"diumenge", 3089
2023,"10007",1,1,"dilluns","Mesura no disponible"
2023,"10007",1,2,"laborables","Mesura no disponible"
2023,"10007",1,3,"divendres","Mesura no disponible"
2023,"10007",1,4,"dissabte","Mesura no disponible"
2023,"10007",1,5,"diumenge","Mesura no disponible"
2023,"10007",2,1,"dilluns","Mesura no disponible"
2023,"10007",2,2,"laborables","Mesura no disponible"
2023,"10007",2,3,"divendres","Mesura no disponible"
2023,"10007",2,4,"dissabte","Mesura no disponible"
2023,"10007",2,5,"diumenge","Mesura no disponible"
2023,"10007",3,1,"dilluns","Mesura no disponible"
2023,"10007",3,2,"laborables","Mesura no disponible"
2023,"10007",3,3,"divendres","Mesura no disponible"
2023,"10007",3,4,"dissabte","Mesura no disponible"
2023,"10007",3,5,"diumenge","Mesura no disponible"
2023,"10007",4,1,"dilluns","Mesura no disponible"
2023,"10007",4,2,"laborables","Mesura no disponible"
2023,"10007",4,3,"divendres","Mesura no disponible"
2023,"10007",4,4,"dissabte","Mesura no disponible"
2023,"10007",4,5,"diumenge","Mesura no disponible"
2023,"10007",5,1,"dilluns","Mesura no disponible"
2023,"10007",5,2,"laborables","Mesura no disponible"
2023,"10007",5,3,"divendres","Mesura no disponible"
2023,"10007",5,4,"dissabte","Mesura no disponible"
2023,"10007",5,5,"diumenge","Mesura no disponible"
2023,"10007",6,1,"dilluns","Mesura no disponible"
2023,"10007",6,2,"laborables","Mesura no disponible"
2023,"10007",6,3,"divendres","Mesura no disponible"
2023,"10007",6,4,"dissabte","Mesura no disponible"
2023,"10007",6,5,"diumenge","Mesura no disponible"
2023,"10007",7,1,"dilluns","Mesura no disponible"
2023,"10007",7,2,"laborables","Mesura no disponible"
2023,"10007",7,3,"divendres","Mesura no disponible"
2023,"10007",7,4,"dissabte","Mesura no disponible"
2023,"10007",7,5,"diumenge","Mesura no disponible"
2023,"10007",8,1,"dilluns","Mesura no disponible"
2023,"10007",8,2,"laborables","Mesura no disponible"
2023,"10007",8,3,"divendres","Mesura no disponible"
2023,"10007",8,4,"dissabte","Mesura no disponible"
2023,"10007",8,5,"diumenge","Mesura no disponible"
2023,"10007",9,1,"dilluns","Mesura no disponible"
2023,"10007",9,2,"laborables","Mesura no disponible"
2023,"10007",9,3,"divendres","Mesura no disponible"
2023,"10007",9,4,"dissabte","Mesura no disponible"
2023,"10007",9,5,"diumenge","Mesura no disponible"
2023,"10007",10,1,"dilluns","Mesura no disponible"
2023,"10007",10,2,"laborables","Mesura no disponible"
2023,"10007",10,3,"divendres","Mesura no disponible"
2023,"10007",10,4,"dissabte","Mesura no disponible"
2023,"10007",10,5,"diumenge","Mesura no disponible"
2023,"10007",11,1,"dilluns", 1834
2023,"10007",11,2,"laborables", 1973
2023,"10007",11,3,"divendres", 2161
2023,"10007",11,4,"dissabte", 1887
2023,"10007",11,5,"diumenge", 1286
2023,"10007",12,1,"dilluns", 1874
2023,"10007",12,2,"laborables", 1980
2023,"10007",12,3,"divendres", 2090
2023,"10007",12,4,"dissabte", 1748
2023,"10007",12,5,"diumenge", 1370
2023,"10008",1,1,"dilluns", 3939
2023,"10008",1,2,"laborables", 4035
2023,"10008",1,3,"divendres", 4166
2023,"10008",1,4,"dissabte", 3292
2023,"10008",1,5,"diumenge", 2644
2023,"10008",2,1,"dilluns", 3880
2023,"10008",2,2,"laborables", 4146
2023,"10008",2,3,"divendres", 4188
2023,"10008",2,4,"dissabte", 3210
2023,"10008",2,5,"diumenge", 2617
2023,"10008",3,1,"dilluns", 3958
2023,"10008",3,2,"laborables", 3930
2023,"10008",3,3,"divendres", 4087
2023,"10008",3,4,"dissabte", 3277
2023,"10008",3,5,"diumenge", 2841
2023,"10008",4,1,"dilluns", 3470
2023,"10008",4,2,"laborables", 3530
2023,"10008",4,3,"divendres", 3838
2023,"10008",4,4,"dissabte", 2821
2023,"10008",4,5,"diumenge", 2216
2023,"10008",5,1,"dilluns", 3617
2023,"10008",5,2,"laborables", 3718
2023,"10008",5,3,"divendres", 3913
2023,"10008",5,4,"dissabte", 3040
2023,"10008",5,5,"diumenge", 2531
2023,"10008",6,1,"dilluns", 3519
2023,"10008",6,2,"laborables", 3762
2023,"10008",6,3,"divendres", 3736
2023,"10008",6,4,"dissabte", 2993
2023,"10008",6,5,"diumenge", 2502
2023,"10008",7,1,"dilluns", 3664
2023,"10008",7,2,"laborables", 3784
2023,"10008",7,3,"divendres", 3870
2023,"10008",7,4,"dissabte", 2913
2023,"10008",7,5,"diumenge", 2763
2023,"10008",8,1,"dilluns", 2890
2023,"10008",8,2,"laborables", 3011
2023,"10008",8,3,"divendres", 2864
2023,"10008",8,4,"dissabte", 2463
2023,"10008",8,5,"diumenge", 2296
2023,"10008",9,1,"dilluns", 3731
2023,"10008",9,2,"laborables", 3808
2023,"10008",9,3,"divendres", 3941
2023,"10008",9,4,"dissabte", 3030
2023,"10008",9,5,"diumenge", 2422
2023,"10008",10,1,"dilluns", 3843
2023,"10008",10,2,"laborables", 3898
2023,"10008",10,3,"divendres", 3832
2023,"10008",10,4,"dissabte", 3031
2023,"10008",10,5,"diumenge", 2510
2023,"10008",11,1,"dilluns", 3898
2023,"10008",11,2,"laborables", 4049
2023,"10008",11,3,"divendres", 4157
2023,"10008",11,4,"dissabte", 3400
2023,"10008",11,5,"diumenge", 2685
2023,"10008",12,1,"dilluns", 4175
2023,"10008",12,2,"laborables", 3844
2023,"10008",12,3,"divendres", 4109
2023,"10008",12,4,"dissabte", 3144
2023,"10008",12,5,"diumenge", 2516
2023,"10009",1,1,"dilluns", 5618
2023,"10009",1,2,"laborables", 5956
2023,"10009",1,3,"divendres", 6333
2023,"10009",1,4,"dissabte", 5043
2023,"10009",1,5,"diumenge", 3574
2023,"10009",2,1,"dilluns", 5775
2023,"10009",2,2,"laborables", 6065
2023,"10009",2,3,"divendres", 6434
2023,"10009",2,4,"dissabte", 5037
2023,"10009",2,5,"diumenge", 3753
2023,"10009",3,1,"dilluns", 5641
2023,"10009",3,2,"laborables", 5856
2023,"10009",3,3,"divendres", 6392
2023,"10009",3,4,"dissabte", 5215
2023,"10009",3,5,"diumenge", 4060
2023,"10009",4,1,"dilluns", 5414
2023,"10009",4,2,"laborables", 5696
